file,check,severity,detail
../../data/raw/train/CarLongPlateGen2902_jpg.rf.21313f7ee9d9c13606bfa5da9111566e.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2931_jpg.rf.cbdb2e63d0246e50d8f066fde0f9eb43.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2895_jpg.rf.6ab4aef91d59608152a7fefbb6006bf3.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2677_jpg.rf.831e26663480bfa3df00003106ce2d8a.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/boderquandoi3_jpg.rf.750fc5fb07e2784d4b0fa9df3ecb9a9a.jpg,box_tiny,WARN,rel_area=3.42e-04 (18x11px)
../../data/raw/train/boderquandoi3_jpg.rf.750fc5fb07e2784d4b0fa9df3ecb9a9a.jpg,box_tiny,WARN,rel_area=3.28e-04 (19x10px)
../../data/raw/train/boderquandoi4_jpg.rf.406cec16870108cb4b85c1c259f73e71.jpg,box_tiny,WARN,rel_area=4.07e-04 (18x13px)
../../data/raw/train/CarLongPlateGen2931_jpg.rf.4e51ea74cfc72dc4044bd468f79dbe05.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/boderquandoi4_jpg.rf.ec5ad454fec6a5e6d5458296139165a4.jpg,box_tiny,WARN,rel_area=3.36e-04 (17x12px)
../../data/raw/train/CarLongPlateGen2902_jpg.rf.80f8e7645f8488f31a6a596ccb9db522.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/boderquandoi3_jpg.rf.92f46792103b44d77671f930815b3c79.jpg,box_tiny,WARN,rel_area=2.67e-04 (17x10px)
../../data/raw/train/boderquandoi3_jpg.rf.92f46792103b44d77671f930815b3c79.jpg,box_tiny,WARN,rel_area=2.55e-04 (18x9px)
../../data/raw/train/boderquandoi3_jpg.rf.a982b31ffac89d039d634a1542eb5715.jpg,box_tiny,WARN,rel_area=2.81e-04 (17x10px)
